paper_id,title,year,journal,sjr_quartile,quality_score,irr_resolution,rq_tags,dsr_cycle_primary,dsr_cycle_secondary,artifact_type,evaluation_type,is_theory_used,context_level,developing_country,gap_codes
P001,Financial Fraud Detection Based on Machine Learning: A Systematic Literature Review,2022,Applied Sciences,Q2,6.3,CONSENSUS,nan,RIGOR,RELEVANCE,None (literature review),Systematic review / bibliometric,None,cross-national (developed),Y,GAP-FW
P003,Financial Cybercrime: A Comprehensive Survey of Deep Learning Approaches to Tackle the Evolving Fina,2021,IEEE Access,Q1,6.6,CONSENSUS,nan,DESIGN,RIGOR,Algorithm/deep model,Laboratory experiment (synthetic/benchmark),None,cross-national (developed),N,GAP-FW
P012,EVOLVING TAX COMPLIANCE IN THE DIGITAL ERA: A COMPARATIVE ANALYSIS OF AI-DRIVEN MODELS AND BLOCKCHAI,2024,Computer Science & IT Research Journal,nan,5.05,CONSENSUS,nan,RIGOR,RELEVANCE,None (literature review),Systematic review / bibliometric,IST-TAM,cross-national (developing),Y,GAP-FW
P013,The Role of IT Governance in the Integration of AI in Accounting and Auditing Operations,2024,Economies,Q2,5.7,CONSENSUS,nan,RIGOR,RELEVANCE,None (literature review),Systematic review / bibliometric,IST-UTAUT,cross-national (developing),Y,GAP-FW
P015,A Review of Neural Networks for Anomaly Detection,2022,IEEE Access,Q1,6.6,CONSENSUS,RQ1,DESIGN,RIGOR,Algorithm/deep model,Algorithm comparison (benchmark),None,unspecified,Partial,GAP-FW
P016,Securing Government Revenue: A Cloud-Based AI Model for Predictive Detection of Tax-Related Financia,2025,International Journal of Computer Applications Technology and Research,nan,5.35,CONSENSUS,nan,RIGOR,RELEVANCE,None (literature review),Systematic review / bibliometric,None,sub-national,Y,GAP-EXPLAIN
P022,Machine learning in business and finance: a literature review and research opportunities,2024,Financial Innovation,nan,5.05,CONSENSUS,RQ1,RIGOR,DESIGN,None (literature review),Systematic review / bibliometric,None,cross-national (developed),N,GAP-FW
P035,Designing Unified Compliance Intelligence Models for Scalable Risk Detection and Prevention in SME F,2025,International Journal of Multidisciplinary Research and Growth Evaluation,nan,5.65,CONSENSUS,RQ1,DESIGN,RIGOR,Algorithm/deep model,Algorithm comparison (benchmark),None,national,N,GAP-FW
P037,AI and Financial Fraud Prevention: Mapping the Trends and Challenges Through a Bibliometric Lens,2025,Journal of risk and financial management,Q3,5.35,CONSENSUS,nan,RIGOR,RELEVANCE,None (literature review),Systematic review / bibliometric,None,cross-national (developed),Y,GAP-FW
P039,Exploring the role of Machine Learning and Deep Learning in Anti-Money Laundering (AML) strategies w,2025,Finance & Accounting Research Journal,Q3,5.35,CONSENSUS,nan,DESIGN,RIGOR,Algorithm/deep model,Algorithm comparison (benchmark),IST-FRAUD,cross-national (developed),N,GAP-EXPLAIN
