paper_id,title,year,journal,sjr_quartile,citations,quality_score,pipeline_status,rq_tags,abstract
P001,Financial Fraud Detection Based on Machine Learning: A Systematic Literature Review,2022.0,Applied Sciences,Q2,338.0,6.3,INCLUDED,,"Financial fraud, considered as deceptive tactics for gaining financial benefits, has recently become a widespread menace in companies and organizations. Conventional techniques such as manual verifications and inspections are imprecise, costly, and time consuming for identifying such fraudulent activities. With the advent of artificial intelligence, machine-learning-based approaches can be used intelligently to detect fraudulent transactions by analyzing a large number of financial data. Therefore, this paper attempts to present a systematic literature review (SLR) that systematically reviews and synthesizes the existing literature on machine learning (ML)-based fraud detection. Particularly, the review employed the Kitchenham approach, which uses well-defined protocols to extract and synthesize the relevant articles; it then report the obtained results. Based on the specified search strategies from popular electronic database libraries, several studies have been gathered. After inclus"
P002,To the moon: defining and detecting cryptocurrency pump-and-dumps,2018.0,Crime Science,Q2,160.0,5.4,INCLUDED,RQ1,"Pump-and-dump schemes are fraudulent price manipulations through the spread of misinformation and have been around in economic settings since at least the 1700s. With new technologies around cryptocurrency trading, the problem has intensified to a shorter time scale and broader scope. The scientific literature on cryptocurrency pump-and-dump schemes is scarce, and government regulation has not yet caught up, leaving cryptocurrencies particularly vulnerable to this type of market manipulation. This paper examines existing information on pump-and-dump schemes from classical economic literature, synthesises this with cryptocurrencies, and proposes criteria that can be used to define a cryptocurrency pump-and-dump. These pump-and-dump patterns exhibit anomalous behaviour; thus, techniques from anomaly detection research are utilised to locate points of anomalous trading activity in order to flag potential pump-and-dump activity. The findings suggest that there are some signals in the tradi"
P003,Financial Cybercrime: A Comprehensive Survey of Deep Learning Approaches to Tackle the Evolving Financial Crime Landscape,2021.0,IEEE Access,Q1,156.0,6.6,INCLUDED,,"Machine Learning and Deep Learning methods are widely adopted across financial domains to support trading activities, mobile banking, payments, and making customer credit decisions. These methods also play a vital role in combating financial crime, fraud, and cyberattacks. Financial crime is increasingly being committed over cyberspace, and cybercriminals are using a combination of hacking and social engineering techniques which are bypassing current financial and corporate institution security. With this comes a new umbrella term to capture the evolving landscape which is financial cybercrime. It is a combination of financial crime, hacking, and social engineering committed over cyberspace for the sole purpose of illegal economic gain. Identifying financial cybercrime-related activities is a hard problem, for example, a highly restrictive algorithm may block all suspicious activity obstructing genuine customer business. Navigating and identifying legitimate illicit transactions is not"
P004,Imperative Role of Integrating Digitalization in the Firms Finance: A Technological Perspective,2022.0,Electronics,Q2,147.0,6.3,INCLUDED,,"Financial management is a critical aspect of firms, and entails the strategic planning, direction, and control of financial endeavors. Risk assessment, fraud detection, wealth management, online transactions, customized bond scheme, customer retention, virtual assistant and so on, are a few of the critical areas where Industry 4.0 technologies intervention are highly required for managing firms' finance. It has been identified from the previous studies that they are limited studies that have addressed the significance and application of integrating of Industry 4.0 technologies such as Internet of Things (IoT), cloud computing, big data, robotic process automation (RPA), artificial intelligence (AI), Blockchain, Digital twin, and Metaverse. With the motivation from the above aspects, this study aims to discuss the role of these technologies in the area of financial management of a firm. Based up on the analysis, it has been concluded that these technologies assist to credit risk managem"
P004,Imperative Role of Integrating Digitalization in the Firms Finance: A Technological Perspective,2022.0,Electronics,Q2,147.0,6.3,INCLUDED,,"Financial management is a critical aspect of firms, and entails the strategic planning, direction, and control of financial endeavors. Risk assessment, fraud detection, wealth management, online transactions, customized bond scheme, customer retention, virtual assistant and so on, are a few of the critical areas where Industry 4.0 technologies intervention are highly required for managing firms' finance. It has been identified from the previous studies that they are limited studies that have addressed the significance and application of integrating of Industry 4.0 technologies such as Internet of Things (IoT), cloud computing, big data, robotic process automation (RPA), artificial intelligence (AI), Blockchain, Digital twin, and Metaverse. With the motivation from the above aspects, this study aims to discuss the role of these technologies in the area of financial management of a firm. Based up on the analysis, it has been concluded that these technologies assist to credit risk managem"
P005,Securing the digital world: Protecting smart infrastructures and digital industries with artificial intelligence (AI)-enabled malware and intrusion detection,2023.0,Journal of Industrial Information Integration,Q1,123.0,7.05,INCLUDED,,"The last decades have been characterized by unprecedented technological advances, many of them powered by modern technologies such as Artificial Intelligence (AI) and Machine Learning (ML). The world has become more digitally connected than ever, but we face major challenges. One of the most significant is cybercrime, which has emerged as a global threat to governments, businesses, and civil societies. The pervasiveness of digital technologies combined with a constantly shifting technological foundation has created a complex and powerful playground for cybercriminals, which triggered a surge in demand for intelligent threat detection systems based on machine and deep learning. This paper investigates AI-based cyber threat detection to protect our modern digital ecosystems. The primary focus is on evaluating ML-based classifiers and ensembles for anomaly-based malware detection and network intrusion detection and how to integrate those models in the context of network security, mobile s"
P006,"Blockchain and AI-Empowered Healthcare Insurance Fraud Detection: an Analysis, Architecture, and Future Prospects",2022.0,IEEE Access,Q1,114.0,7.05,INCLUDED,,"Nowadays, health insurance has become an essential part of people&#x2019;s lives as the number of health issues increases. Healthcare emergencies can be troublesome for people who can&#x2019;t afford huge expenses. Health insurance helps people cover healthcare services expenses in case of a medical emergency and provides financial backup against indebtedness risk. Health insurance and its several benefits can face many security, privacy, and fraud issues. For the past few years, fraud has been a sensitive issue in the health insurance domain as it incurs high losses for individuals, private firms, and governments. So, it is essential for national authorities and private firms to develop systems to detect fraudulent cases and payments. A high volume of health insurance data in electronic form is generated, which is highly sensitive and attracts malicious users. Motivated by these facts, we present a systematic survey for Artificial Intelligence (AI) and blockchain-enabled secure health"
P006,"Blockchain and AI-Empowered Healthcare Insurance Fraud Detection: an Analysis, Architecture, and Future Prospects",2022.0,IEEE Access,Q1,114.0,7.05,INCLUDED,,"Nowadays, health insurance has become an essential part of people&#x2019;s lives as the number of health issues increases. Healthcare emergencies can be troublesome for people who can&#x2019;t afford huge expenses. Health insurance helps people cover healthcare services expenses in case of a medical emergency and provides financial backup against indebtedness risk. Health insurance and its several benefits can face many security, privacy, and fraud issues. For the past few years, fraud has been a sensitive issue in the health insurance domain as it incurs high losses for individuals, private firms, and governments. So, it is essential for national authorities and private firms to develop systems to detect fraudulent cases and payments. A high volume of health insurance data in electronic form is generated, which is highly sensitive and attracts malicious users. Motivated by these facts, we present a systematic survey for Artificial Intelligence (AI) and blockchain-enabled secure health"
P007,Online Payment Fraud Detection Model Using Machine Learning Techniques,2023.0,IEEE Access,Q1,112.0,8.25,INCLUDED,RQ1,"In a world where wireless communications are critical for transferring massive quantities of data while protecting against interference, the growing possibility of financial fraud has become a significant concern. The ResNeXt-embedded Gated Recurrent Unit (GRU) model (RXT) is a unique approach precisely created for real-time financial transaction data processing. Motivated by the need to address the rising threat of financial fraud, which poses major risks to financial institutions and customers, our technique takes a systematic approach. We initiate the process with data input and preprocessing, addressing data imbalance through the Synthetic Minority Over-sampling Technique (SMOTE). Feature extraction uses an ensemble approach that combines autoencoders and ResNet (EARN) to reveal critical data patterns, while feature engineering further enhances the model’s discriminative capabilities. The core of our classification task lies in the RXT model, fine-tuned with hyperparameters using t"
P008,The Fingerprints of Fraud: Evidence from Mexico’s 1988 Presidential Election,2019.0,American Political Science Review,Q1,108.0,6.0,INCLUDED,-,"This paper investigates the opportunities for non-democratic regimes to rely on fraud by documenting the alteration of vote tallies during the 1988 presidential election in Mexico. In particular, I study how the alteration of vote returns came after an electoral reform that centralized the vote-counting process. Using an original image database of the vote-tally sheets for that election and applying Convolutional Neural Networks (CNN) to analyze the sheets, I find evidence of blatant alterations in about a third of the tallies in the country. This empirical analysis shows that altered tallies were more prevalent in polling stations where the opposition was not present and in states controlled by governors with grassroots experience of managing the electoral operation. This research has implications for understanding the ways in which autocrats control elections as well as for introducing a new methodology to audit the integrity of vote tallies."
